NAME|ROOM|IP|OS|OS version|CATEGORY|OWNER|AUTHORITY|BARCODE|DESCRIPTION|SPARE1|SERIAL NUMBER|HOSTID|HOST STATUS|INVENTORY STATUS|FIREWALL|TRUSTLEVEL|RACKINFO|POWER UP|SUPPORT TEAM|COMMENTS
586239-cs|ATH413||Windows|8.1 Enterprise|laptop|yang|yang|586239|Core i7 4500U @ 1.8 GHz|||||||||||
604047-cs|CSC247||Windows|7 Enterprise|laptop|ackerl|ackerl|604047|ThinkPad T410i|||||||||||
abyssus|CSC351|129.128.184.23|Linux|Ubuntu 14.04|regular||athess||||||NOP|active||||5||
acme|CSC205||Linux|Ubuntu 14.04|regular||hasell|||||||||||||
adair-crk|CSC217|129.128.184.8|Linux|Ubuntu 16.04|regular|hayward|hayward|604055|i7-6700/GTX1080|||||||||||
admin-fw1-inside|admin-fw1|129.128.16.252|OpenBSD|4.5|alias|dept|tst||||||CLEAN|active||T||5||internal interface
admin-fw1|CSC231|129.128.22.241|OpenBSD|4.5|regular|dept|tst||Dell PE 850 P4 80547/2.66GHz-512||F0YQN91||CLEAN|retired||T|B|5||TST managed server
admin-fw2-inside|admin-fw2|129.128.16.253|OpenBSD|4.5|alias|dept|tst||||||CLEAN|active||T||5||internal interface
admin-fw2|CSC231|129.128.22.242|OpenBSD|4.5|regular|dept|tst||Dell PE 850 P4 80547/2.66GHz-512||B0YQN91||CLEAN|retired||T|B|5||TST managed server
admin-fw|CSC231|129.128.22.240|||public carp||tst||Dell PE 850 P4 80547/2.66GHz-512||floating||NA|floater||||5||
ag-control|CSC363|129.128.159.197|Windows||regular||pierreb||Xeonx2||no-serial||DIRTY|missing||||5||
ahs3|CSC205|129.128.184.33|Linux||regular|ackerl|jiaji|||||||||||||
aicml2|CSC205|129.128.184.32|Linux|Ubuntu|regular||hasell|||||||||||||
aicml10|CSC205|129.128.184.97|Linux|Ubuntu|regular||hasell|||||||active||||5||On WW
aicml-med|CSC205|129.128.184.29|Linux|Ubuntu|regular||hasell|||||||||||||
aicml-poker|CSC211||Linux|Ubuntu|regular||hasell|||||||||||||
amii-prn|CSC247|129.128.23.177|||printer|roik|zaiane||HP MFP M426fdn||||CLEAN|active|OK|||5||
amii-prn2|CSC247|129.128.23.14|||printer|roik|zaiane||Brother HL-5470DW||||CLEAN|active|OK|||5||
aicml-srv|CSC247|129.128.184.30|||regular||hasell|||||||||||||
airdrie|ATH206|129.128.23.32|Windows|7|regular||hasell|||||||||||||
akasu-lk|ATH441||MacOS|10.8|regular|mn|dept|586224|iMac 21.5 A1418||C02JXRCXDNCR||CLEAN|active|OK|||5||On NAT
akenside|CSC247|129.128.16.176|Windows|XP Pro 5.1.2600|regular|balaski|zaiane|461635|AMD/XP3200-2048||ACS04496||CLEAN|active|OK|||5||Admin-Zone
akinsdale|CSC243|129.128.23.143|Linux|WPS Ubuntu 16.04|regular||hasell|||||||||||||
akuinu-riv|CSC205||Windows|7|regular|ackerl|zaiane||AMD/PN/710x3-8192||ACS06970||CLEAN|active||||5||Not Tagged/On NAT
alcomdale|ATH220|129.128.16.191|MacOS|10.8|regular|dept|dept|586222|iMac 21.5 A1418||C02JXPNLDNCR||CLEAN|spare|OK|||5||
alcurve|ATH342||MacOS|10.8|regular|mn|dept|586225|iMac 21.5 A1418||C02JXD3QDNCR||CLEAN|active|OK|||5||On NAT
alder-flats|CSC205|129.128.23.173|||regular||zaiane|473419|E6550-2048||C7L1TF1|||spare||||5||Disk wiped
algar-lake|CCIS1083|129.128.16.196|MacOS|10.8|regular|dept|dept|586226|iMac 21.5 A1418||C02JXRFLDNCR||CLEAN|active|OK|||5||Used by Carol Smith in the Fac Sci office (approved by the Chair).
alhambra|ATH241|129.128.16.160|Windows|XP Pro|regular||dept|||||||||||||
alix|ATH220|129.128.16.197|MacOS|10.8|regular|dept|dept|586227|iMac 21.5 A1418||C02JXFX2DNCR||CLEAN|spare|OK|||5||
alliance|ATH252B|129.128.16.161|Windows|XP Pro|regular||dept|||||||||||||
alpen|CSC315|129.128.22.56||||||||||||spare||||||
alsike|ATH304||MacOS|10.8|regular|mn|dept|586228|iMac 21.5 A1418||C02JXRE8DNCR||CLEAN|active|OK|||5||On NAT
altario|ATH233|129.128.16.162|Windows|XP Pro|regular||dept|||||||||||||
amadou|ATH252A|129.128.16.172|Windows|XP Pro|regular||dept||Dell OptiPlex 755:Core2/2.66-2048||ACS03580||CLEAN|active||||5||
amber-rv|CSC205|129.128.23.182|Linux|Ubuntu 14.04|regular||hasell|||||||||||||
amelia|Off Campus||MacOS|10.8|regular|dept|sunrose|586220|iMac 21.5 A1418||C02JXREBDNCR||CLEAN|active|OK|||5||Used by Sunrose Ko at her home (approved by the Chair).
amii-laptop01|CSC247||Windows|10 Education|laptop|zaiane|zaiane||Core i7 6700HQ @ 2.6 GHz|||||||||||
