1 NAME|3 IP||4 OS, 5 OS version|6 CATEGORY|2 ROOM|18 RACKINFO|12 SERIAL NUMBER|9 BARCODE||7 OWNER|8 AUTHORITY|14 HOST STATUS|10 DESCRIPTION: Machine Company| Processor| RAM| HDD||
586239-cs|||Windows, 8.1 Enterprise|laptop|ATH413||QB08009497|586239||yang|yang|CLEAN||Intel i7 4500U @ 1.8 GHz|8|1000||
604047-cs|||Windows, 7 Enterprise|laptop|CSC247||R8-B2F4M|604047||ackerl|ackerl|CLEAN|ThinkPad T410i|Intel i3 M370 @ 2.4 GHz|4|250||
abyssus|129.128.184.23||Linux, Ubuntu 14.04|regular|CSC351||||||athess|NOP||||||
acme|||Linux, Ubuntu 14.04|regular|CSC205||1FS5WK1|543298|||hasell,zaiane|NOP||Intel Q9400 @2.66GHz|8|||
adair-crk|129.128.184.8||Linux, Ubuntu 16.04|regular|CSC217||1.07E+11|604055||hayward|hayward|NOP||Intel i7 6700|32|1000||
admin-fw1-inside|129.128.16.252||OpenBSD, 4.5|alias|admin-fw1|||||dept|tst|CLEAN||||||
admin-fw1|129.128.22.241||OpenBSD, 4.5|regular|CSC231|B|F0YQN91|||dept|tst|CLEAN|Dell PowerEdge 850|Intel Pentium 4 80547 @ 2.66GHz|512MB|||
admin-fw2-inside|129.128.16.253||OpenBSD, 4.5|alias|admin-fw2|||||dept|tst|CLEAN||||||
admin-fw2|129.128.22.242||OpenBSD, 4.5|regular|CSC231|B|B0YQN91|||dept|tst|CLEAN|Dell PowerEdge 850|Intel Pentium 4 80547 @ 2.66GHz|512MB|||
admin-fw|129.128.22.240||, |public carp|CSC231||floating||||tst|NA|Dell PowerEdge 850|Intel Pentium 4 80547 @ 2.66GHz|512MB|||
ag-control|129.128.159.197||Windows, |regular|CSC363||no-serial||||pierreb|DIRTY||Xeon X2||||
ahs3|129.128.184.33||Linux, |regular|CSC205|||||ackerl|jiaji,jharder1|NOP||||||
aicml2|129.128.184.32||Linux, Ubuntu|regular|CSC205||||||hasell,zaiane|NOP||||||
aicml10|129.128.184.97||Linux, Ubuntu|regular|CSC205||||||hasell|||||||
